,transaction_id,account_id,transaction_time,transaction_type,balance,transaction_amount,location,source_conf,is_fraud
0,5384096228,47143872,1023686514.0,withdrawal,84209.27,5953.15,JPN,N/A,True
1,4507278180,26957679,1052365367.0,payment,48475.54,4560.41,ITA,0.16593803408531657,True
2,7802804572,86809558,1018610847.0,withdrawal,51558.06,2283.0,ENG,N/A,True
3,3628276619,20303132,1083246154.0,withdrawal,36422.83,3095.63,JPN,N/A,True
4,4518810874,69195232,1049166809.0,withdrawal,40713.88,232.17,US,N/A,False
5,9991343862,37019861,1036961003.0,payment,53221.17,2422.64,US,0.9149471336985932,False
6,5305304265,44496165,1075446912.0,withdrawal,97168.77,3362.43,CAN,N/A,True
7,8028675950,99759664,1011154667.0,withdrawal,69661.42,4138.0,ENG,N/A,True
8,3567688863,57142245,1052465865.0,deposit,36984.56,3573.0,US,N/A,False
9,5570923514,66046955,1043246641.0,payment,18490.52,3861.0,US,0.9318272805478951,False
10,5587442856,63243627,1003002714.0,payment,92877.49,995.59,US,0.9103381069747581,False
11,4625493031,71477211,1097293066.0,withdrawal,19948.3,5020.0,RUS,N/A,True
12,9427571458,22695034,1028892135.0,withdrawal,90972.9,4269.0,RUS,N/A,True
13,3434172407,18065374,1009538646.0,withdrawal,13334.56,435.0,US,N/A,False
14,1449338377,42417586,1009041920.0,payment,78477.26,3638.0,US,0.9961966600754308,False
15,2593012880,72937419,1067358119.0,withdrawal,56177.36,4443.94,CHN,N/A,True
16,6299651013,71113907,1094432917.0,interest,13803.02,0.22,N/A,N/A,False
17,4375225123,72856304,1021535273.0,withdrawal,73995.75,4442.0,RUS,N/A,True
18,2601758698,72643816,1079243261.0,withdrawal,10813.93,5808.1,IND,N/A,True
19,4049202944,89109472,1071964954.0,withdrawal,20545.74,5899.0,IND,N/A,True
20,1915629331,43267193,1088944256.0,withdrawal,39599.18,5834.3,CAN,N/A,True
21,2105848539,16209680,1031489541.0,withdrawal,12077.31,5494.82,KOR,N/A,True
22,7051575451,61635565,1033411393.0,payment,75288.31,4219.04,US,0.9365852679145649,False
23,4407082597,96676431,1025881812.0,payment,40517.97,2491.95,US,0.9457248756503928,False
24,5508084290,47436965,1027902623.0,withdrawal,86486.66,3889.38,JPN,N/A,True
25,9053102536,76525725,1013221361.0,payment,47129.15,4452.37,KOR,0.9930915835847751,False
26,3740339823,20183333,1039604335.0,withdrawal,85182.38,997.9,US,N/A,False
27,7036058086,47681674,1022228797.0,withdrawal,65414.24,2523.0,MEX,N/A,True
28,9883163812,39651519,1069724920.0,withdrawal,64607.96,2162.0,CHN,N/A,True
29,3070483349,47309822,1029938772.0,withdrawal,40546.04,2727.0,ENG,N/A,True
30,1278773362,16385714,1087746025.0,withdrawal,88634.06,4280.51,CAN,N/A,True
31,1629280060,12266547,1051603085.0,deposit,84842.55,3615.0,US,N/A,False
32,7938528745,61700190,1051346691.0,payment,40019.13,3320.0,US,0.9342643125564527,False
33,3631651790,39105388,1001840411.0,withdrawal,5518.91,5443.0,MEX,N/A,True
34,8606693121,68103101,1060323996.0,withdrawal,14850.66,2771.33,RUS,N/A,True
35,9865099881,44080441,1097010005.0,withdrawal,43824.58,3096.66,CAN,N/A,True
36,5446763235,75043159,1063630255.0,payment,53114.24,4520.15,ENG,0.10042634963427392,True
37,3440336074,35715740,1013654328.0,withdrawal,43081.52,2432.55,MEX,N/A,True
38,8681780406,10704147,1074171744.0,withdrawal,75355.03,5086.73,KOR,N/A,True
39,1479014108,87094420,1007534858.0,withdrawal,22551.06,5015.0,IND,N/A,True
40,2902891647,31421601,1073779329.0,interest,6898.01,0.85,N/A,N/A,False
